course_title,module_name,lesson_title,source_page,direct_mp4_url,duration_seconds,license_name,commercial_rehost_allowed,attribution_required
Python Programming,Python Safety & Dependencies,Making Python Safer,https://archive.fosdem.org/2024/schedule/event/fosdem-2024-2311-making-python-safer-than-ever/,https://video.fosdem.org/2024/ud2218a/fosdem-2024-2311-making-python-safer-than-ever.mp4,1500,CC BY 2.0 Belgium,True,True
Python Programming,Modern Python,Pattern Matching with Python,https://archive.fosdem.org/2024/schedule/event/fosdem-2024-1996-match-all-things-python-parsing-structured-content-with-python-s-new-match-statement/,https://video.fosdem.org/2024/ud2218a/fosdem-2024-1996-match-all-things-python-parsing-structured-content-with-python-s-new-match-statement.mp4,1500,CC BY 2.0 Belgium,True,True
Python Programming,Python Debugging,Python 3.12 Monitoring and Debugging API,https://archive.fosdem.org/2024/schedule/event/fosdem-2024-1678-python-3-12-s-new-monitoring-and-debugging-api/,https://video.fosdem.org/2024/ud2218a/fosdem-2024-1678-python-3-12-s-new-monitoring-and-debugging-api.mp4,1500,CC BY 2.0 Belgium,True,True
JavaScript & Web Development,JavaScript Runtime,Understanding the JavaScript Event Loop,https://archive.fosdem.org/2024/schedule/event/fosdem-2024-2890-unraveling-javascript-s-heart-mastering-the-event-loop-for-peak-performance/,https://video.fosdem.org/2024/h1301/fosdem-2024-2890-unraveling-javascript-s-heart-mastering-the-event-loop-for-peak-performance.mp4,1800,CC BY 2.0 Belgium,True,True
JavaScript & Web Development,Web Security,JavaScript Security Fundamentals,https://archive.fosdem.org/2024/schedule/event/fosdem-2024-2779-staying-ahead-of-the-game-javascript-security/,https://video.fosdem.org/2024/h1301/fosdem-2024-2779-staying-ahead-of-the-game-javascript-security.mp4,1800,CC BY 2.0 Belgium,True,True
JavaScript & Web Development,Web Performance,Fast JavaScript with Data-Oriented Design,https://archive.fosdem.org/2024/schedule/event/fosdem-2024-2773-fast-javascript-with-data-oriented-design/,https://video.fosdem.org/2024/h2214/fosdem-2024-2773-fast-javascript-with-data-oriented-design.mp4,1500,CC BY 2.0 Belgium,True,True
SQL & PostgreSQL,SQL Concurrency,Isolation Levels and MVCC,https://archive.fosdem.org/2024/schedule/event/fosdem-2024-3600-isolation-levels-and-mvcc-in-sql-databases-a-technical-comparative-study/,https://video.fosdem.org/2024/ud2120/fosdem-2024-3600-isolation-levels-and-mvcc-in-sql-databases-a-technical-comparative-study.mp4,3000,CC BY 2.0 Belgium,True,True
SQL & PostgreSQL,PostgreSQL Data Modeling,Data Modeling for PostgreSQL Performance,https://archive.fosdem.org/2024/schedule/event/fosdem-2024-3601-reducing-costs-and-improving-performance-with-data-modeling-in-postgres/,https://video.fosdem.org/2024/ud2120/fosdem-2024-3601-reducing-costs-and-improving-performance-with-data-modeling-in-postgres.mp4,3000,CC BY 2.0 Belgium,True,True
SQL & PostgreSQL,Database Security,"Roles, Privileges and Security in PostgreSQL",https://archive.fosdem.org/2024/schedule/event/fosdem-2024-3603-for-your-eyes-only-roles-privileges-and-security-in-postgresql/,https://video.fosdem.org/2024/ud2120/fosdem-2024-3603-for-your-eyes-only-roles-privileges-and-security-in-postgresql.mp4,3000,CC BY 2.0 Belgium,True,True
Git & Version Control,Git Deep Dive,Advanced Git Tips and Tricks,https://archive.fosdem.org/2024/schedule/event/fosdem-2024-3611-so-you-think-you-know-git/,https://video.fosdem.org/2024/k1105/fosdem-2024-3611-so-you-think-you-know-git.mp4,3000,CC BY 2.0 Belgium,True,True
Git & Version Control,Distributed Version Control,Version Control Beyond Git,https://archive.fosdem.org/2024/schedule/event/fosdem-2024-3423-version-control-post-git/,https://video.fosdem.org/2024/k1105/fosdem-2024-3423-version-control-post-git.mp4,3000,CC BY 2.0 Belgium,True,True
Git & Version Control,Reproducible Development,Reproducible Builds,https://archive.fosdem.org/2024/schedule/event/fosdem-2024-3353-reproducible-builds-the-first-ten-years/,https://video.fosdem.org/2024/k1105/fosdem-2024-3353-reproducible-builds-the-first-ten-years.mp4,3000,CC BY 2.0 Belgium,True,True
Open Source AI & Machine Learning,AI Foundations,Introduction to Open Source AI,https://archive.fosdem.org/2024/schedule/event/fosdem-2024-2485-an-introduction-to-open-source-ai/,https://video.fosdem.org/2024/ub2252a/fosdem-2024-2485-an-introduction-to-open-source-ai.mp4,1800,CC BY 2.0 Belgium,True,True
Open Source AI & Machine Learning,Large Language Models,Building Open Source Language Models,https://archive.fosdem.org/2024/schedule/event/fosdem-2024-2591-building-open-source-language-models/,https://video.fosdem.org/2024/ub2252a/fosdem-2024-2591-building-open-source-language-models.mp4,900,CC BY 2.0 Belgium,True,True
Open Source AI & Machine Learning,LLM Applications,LangChain From 0 to 1,https://archive.fosdem.org/2024/schedule/event/fosdem-2024-2384-langchain-from-0-to-1-unveiling-the-power-of-llm-programming/,https://video.fosdem.org/2024/ub2252a/fosdem-2024-2384-langchain-from-0-to-1-unveiling-the-power-of-llm-programming.mp4,1800,CC BY 2.0 Belgium,True,True
